"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"28817",28817,"Lake Placid",1999,82,27000000,5.2,7836,1,0,1,0,0,0,0
"28857",28857,"Land Before Time, The",1988,70,12300000,6.4,3630,0,1,0,1,0,0,0
"28917",28917,"Lara Croft Tomb Raider: The Cradle of Life",2003,117,90000000,5.2,9103,1,0,0,0,0,0,0
"28918",28918,"Lara Croft: Tomb Raider",2001,100,80000000,5.2,21861,1,0,0,0,0,0,0
"28950",28950,"Lashou shentan",1992,131,4500000,7.9,6568,1,0,0,1,0,0,0
"28958",28958,"Last Action Hero",1993,130,60000000,5.4,15266,1,0,1,0,0,0,0
"28978",28978,"Last Castle, The",2001,131,60000000,6.4,7233,1,0,0,1,0,0,0
"29001",29001,"Last Dragon, The",1985,109,10000000,5.6,1343,1,0,0,1,0,0,0
"29005",29005,"Last Emperor, The",1987,219,25000000,7.7,9507,0,0,0,1,0,0,0
"29035",29035,"Last House on the Left, The",1972,85,87000,5.5,2522,0,0,0,0,0,0,0
"29049",29049,"Last Man Standing",1996,101,67000000,5.7,6751,1,0,0,1,0,0,0
"29061",29061,"Last Orders",2001,109,12000000,7.1,1583,0,0,0,1,0,0,0
"29070",29070,"Last Picture Show, The",1971,118,1300000,8,5340,0,0,0,1,0,0,0
"29099",29099,"Last Samurai, The",2003,154,100000000,7.9,31668,1,0,0,1,0,0,0
"29102",29102,"Last Seduction, The",1994,110,2500000,7.2,4157,0,0,0,1,0,0,0
"29113",29113,"Last Starfighter, The",1984,101,15000000,6.2,4890,1,0,1,0,0,0,0
"29123",29123,"Last Temptation of Christ, The",1988,164,7000000,7.5,8074,0,0,0,1,0,0,0
"29165",29165,"Last of the Mohicans, The",1992,117,40000000,7.5,15293,0,0,0,1,0,1,0
"29202",29202,"Latter Days",2003,107,850000,7.3,1396,0,0,1,1,0,1,0
"29283",29283,"Lawn Dogs",1997,101,8000000,7.5,1856,0,0,0,1,0,0,0
"29286",29286,"Lawnmower Man, The",1992,140,10000000,5,5799,1,0,0,0,0,0,0
"29287",29287,"Lawrence of Arabia",1962,227,15000000,8.6,31230,0,0,0,1,0,0,0
"29288",29288,"Laws of Attraction",2004,90,28000000,5.7,2349,0,0,1,0,0,1,0
"29319",29319,"League of Extraordinary Gentlemen, The",2003,110,78000000,5.4,15647,1,0,0,0,0,0,0
"29323",29323,"League of Their Own, A",1992,128,40000000,6.9,14318,0,0,1,1,0,0,0
"29353",29353,"Leaving Las Vegas",1995,111,4000000,7.5,18027,0,0,0,1,0,1,0
"29392",29392,"Legal Eagles",1986,116,35000000,5.6,2132,0,0,1,0,0,1,0
"29394",29394,"Legally Blonde",2001,96,18000000,6.4,17572,0,0,1,0,0,0,0
"29395",29395,"Legally Blonde 2: Red, White & Blonde",2003,95,45000000,4.4,6293,0,0,1,0,0,0,0
"29397",29397,"Legend",1985,89,25000000,6.1,7744,0,0,0,0,0,1,0
"29399",29399,"Legend of Bagger Vance, The",2000,126,60000000,6.4,7123,0,0,1,1,0,1,0
"29439",29439,"Legends of the Fall",1994,133,30000000,6.7,13327,0,0,0,1,0,1,0
"29444",29444,"Leggenda del pianista sull'oceano, La",1998,120,9000000,7.6,3599,0,0,0,1,0,0,0
"29456",29456,"Legionnaire",1998,98,35000000,4.5,1773,1,0,0,0,0,0,0
"29489",29489,"Lemony Snicket's A Series of Unfortunate Events",2004,108,125000000,6.7,8402,0,0,1,0,0,0,0
"29538",29538,"Leprechaun",1993,92,900000,3.6,2288,0,0,1,0,0,0,0
"29631",29631,"Lethal Weapon",1987,117,15000000,7.5,20041,1,0,1,0,0,0,0
"29634",29634,"Lethal Weapon 4",1998,127,140000000,6.3,17758,1,0,1,0,0,0,0
"29696",29696,"Levity",2003,100,7500000,6.4,1459,0,0,0,1,0,0,0
"29732",29732,"Liar Liar",1997,86,45000000,6.5,22969,0,0,1,0,0,0,0
"29762",29762,"Liberty Stands Still",2002,92,11000000,5.6,1560,0,0,0,1,0,0,0
"29772",29772,"Licence to Kill",1989,133,40000000,6.2,8523,1,0,0,0,0,0,0
"29774",29774,"License to Drive",1988,88,8000000,5.3,2163,0,0,1,0,0,0,0
"29819",29819,"Life",1999,108,75000000,5.8,4857,0,0,1,1,0,0,0
"29823",29823,"Life Aquatic with Steve Zissou, The",2004,118,25000000,7.3,9170,0,0,1,1,0,0,0
"29834",29834,"Life Less Ordinary, A",1997,103,12000000,6.4,8209,0,0,1,1,0,1,0
"29852",29852,"Life as a House",2001,127,18000000,7.5,7696,0,0,1,1,0,0,0
"29859",29859,"Life of Brian",1979,94,4000000,8.1,33325,0,0,1,0,0,0,0
"29860",29860,"Life of David Gale, The",2003,130,50000000,7.1,10580,0,0,0,1,0,0,0
"29886",29886,"Lifeforce",1985,101,25000000,5.6,2071,0,0,0,0,0,0,0
"29947",29947,"Like Mike",2002,99,30000000,4.9,1484,0,0,1,0,0,0,0
"29962",29962,"Lilies of the Field",1963,94,240000,7.6,1391,0,0,1,1,0,0,0
"29984",29984,"Lilo & Stitch",2002,86,80000000,7.3,10944,0,1,1,1,0,0,0
"29993",29993,"Limbo",1999,126,8300000,7.1,2063,0,0,0,1,0,0,0
"29999",29999,"Limey, The",1999,89,9000000,7.2,7732,0,0,0,1,0,0,0
"30040",30040,"Lion King, The",1994,89,79300000,7.8,32924,0,1,1,0,0,0,0
"30053",30053,"Lionheart",1990,105,2500000,5.1,2123,1,0,0,0,0,0,0
"30125",30125,"Little Black Book",2004,111,35000000,4.7,1894,0,0,1,1,0,1,0
"30212",30212,"Little Nicky",2000,90,80000000,4.9,9485,0,0,1,0,0,1,0
"30217",30217,"Little Odessa",1994,98,2300000,6.5,1222,0,0,0,1,0,0,0
"30247",30247,"Little Shop of Horrors",1986,94,30000000,6.4,8911,0,0,1,0,0,0,0
"30248",30248,"Little Shop of Horrors, The",1960,70,27000,6.2,1988,0,0,1,0,0,0,0
"30301",30301,"Live and Let Die",1973,121,7000000,6.6,8022,1,0,0,0,0,0,0
"30312",30312,"Living Daylights, The",1987,130,30000000,6.4,7495,1,0,0,0,0,0,0
"30322",30322,"Living Out Loud",1998,103,12000000,6.5,1774,0,0,1,1,0,1,0
"30346",30346,"Lizzie McGuire Movie, The",2003,94,17000000,5,2541,0,0,1,0,0,0,0
"30371",30371,"Loaded Weapon 1",1993,84,13000000,5.4,6485,1,0,1,0,0,0,0
"30413",30413,"Logan's Run",1976,120,9000000,6.5,5441,1,0,0,0,0,0,0
"30432",30432,"Lolita",1962,152,2000000,7.6,9150,0,0,1,1,0,1,0
"30433",30433,"Lolita",1997,137,58000000,6.8,5757,0,0,0,1,0,1,0
"30468",30468,"Lone Star",1996,135,5000000,7.7,8518,0,0,0,1,0,0,0
"30524",30524,"Long Kiss Goodnight, The",1996,120,65000000,6.5,12516,1,0,0,1,0,0,0
"30532",30532,"Long Riders, The",1980,99,10000000,7,1190,0,0,0,0,0,0,0
"30573",30573,"Longest Day, The",1962,180,8000000,7.7,6517,1,0,0,1,0,0,0
"30590",30590,"Look Who's Talking",1989,93,7500000,5.5,10847,0,0,1,0,0,1,0
"30627",30627,"Looney Tunes: Back in Action",2003,91,80000000,6.1,2559,1,1,1,0,0,0,0
"30657",30657,"Lord of the Rings, The",1978,132,8000000,5.8,5734,0,1,0,0,0,0,0
"30658",30658,"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93000000,8.8,157608,1,0,0,0,0,0,0
"30659",30659,"Lord of the Rings: The Return of the King, The",2003,251,94000000,9,103631,1,0,0,0,0,0,0
"30660",30660,"Lord of the Rings: The Two Towers, The",2002,223,94000000,8.8,114797,1,0,0,0,0,0,0
"30681",30681,"Loser",2000,92,20000000,5.1,5152,0,0,1,0,0,1,0
"30713",30713,"Lost Highway",1997,135,15000000,7.3,15936,0,0,0,1,0,0,0
"30714",30714,"Lost Horizon",1937,118,2000000,7.7,2103,0,0,0,1,0,0,0
"30731",30731,"Lost Souls",2000,97,28000000,4.6,3423,0,0,0,0,0,0,0
"30741",30741,"Lost Weekend, The",1945,101,1250000,8.1,2661,0,0,0,1,0,0,0
"30746",30746,"Lost World: Jurassic Park, The",1997,129,73000000,5.5,28055,1,0,0,0,0,0,0
"30756",30756,"Lost in Space",1998,130,80000000,4.7,15209,1,0,0,0,0,0,0
"30757",30757,"Lost in Translation",2003,102,4000000,8,42450,0,0,1,1,0,0,0
"30815",30815,"Love & Basketball",2000,124,15000000,6.7,2093,0,0,0,1,0,1,0
"30887",30887,"Love Letter, The",1999,88,15000000,5.2,1258,0,0,1,1,0,0,0
"30894",30894,"Love Liza",2002,90,1000000,6.6,1588,0,0,0,1,0,0,0
"30922",30922,"Love Stinks",1999,94,4000000,5.3,1311,0,0,1,0,0,0,0
"30924",30924,"Love Story",1970,99,2200000,6.2,2844,0,0,0,1,0,1,0
"30944",30944,"Love and Death",1975,85,3000000,7.6,4193,0,0,1,0,0,0,0
"30973",30973,"Love in the Afternoon",1957,125,2100000,7.3,1125,0,0,1,1,0,1,0
"30986",30986,"Love's Labour's Lost",2000,93,13000000,5.9,1254,0,0,1,0,0,1,0
"31015",31015,"Lovely & Amazing",2001,91,250000,6.9,1813,0,0,1,1,0,0,0
"31115",31115,"Lucky Numbers",2000,105,65000000,5,2396,0,0,1,0,0,0,0
"31205",31205,"Lunes al sol, Los",2002,113,4000000,7.8,1466,0,0,0,1,0,0,0
"31307",31307,"MASH",1970,112,3500000,7.8,14829,0,0,1,1,0,0,0
"31424",31424,"Mad City",1997,115,50000000,6,3965,0,0,0,1,0,0,0
"31447",31447,"Mad Max",1979,93,350000,6.8,11542,1,0,0,0,0,0,0
"31491",31491,"Made",2001,94,5000000,6.5,4487,0,0,1,1,0,0,0
"31540",31540,"Madonna: Truth or Dare",1991,114,4500000,5.5,2660,0,0,0,0,1,0,0
"31633",31633,"Magnificent Ambersons, The",1942,131,850000,8,3407,0,0,0,1,0,0,0
"31650",31650,"Magnolia",1999,188,37000000,8,45992,0,0,0,1,0,0,0
"31675",31675,"Maid in Manhattan",2002,105,55000000,4.6,12237,0,0,1,0,0,1,0
"31720",31720,"Majestic, The",2001,156,72000000,6.7,8649,0,0,0,1,0,1,0
"31724",31724,"Major League",1989,107,11000000,6.7,8078,0,0,1,0,0,0,0
"31806",31806,"Malcolm X",1992,202,34000000,7.5,6873,0,0,0,1,0,0,0
"31834",31834,"Malibu's Most Wanted",2003,86,16000000,4.9,2099,0,0,1,0,0,0,0
"31846",31846,"Mallrats",1995,94,6100000,7.1,22837,0,0,1,1,0,0,0
"31859",31859,"Maltese Falcon, The",1941,101,300000,8.4,19444,0,0,0,0,0,0,0
"31909",31909,"Man Apart, A",2003,110,36000000,5.4,4231,1,0,0,1,0,0,0
"31962",31962,"Man Who Knew Too Much, The",1956,120,2500000,7.4,5388,0,0,0,1,0,0,0
"31975",31975,"Man Who Shot Liberty Valance, The",1962,123,3200000,8.2,7281,0,0,0,0,0,0,0
"31983",31983,"Man Who Wasn't There, The",2001,118,20000000,7.7,17028,0,0,1,1,0,0,0
"31986",31986,"Man Who Would Be King, The",1975,129,8000000,7.9,8035,0,0,0,0,0,0,0
"32001",32001,"Man for All Seasons, A",1966,120,3900000,8,4356,0,0,0,1,0,0,0
"32009",32009,"Man from Elysian Fields, The",2001,106,6500000,6.8,1198,0,0,0,1,0,0,0
"32040",32040,"Man in the Iron Mask, The",1998,132,35000000,6,11127,1,0,0,1,0,0,0
"32071",32071,"Man on Fire",2004,146,70000000,7.4,14358,1,0,0,1,0,0,0
"32077",32077,"Man on the Moon",1999,118,52000000,7.3,19826,0,0,1,1,0,0,0
"32101",32101,"Man with the Golden Gun, The",1974,125,13000000,6.4,7425,1,0,0,1,0,0,0
"32166",32166,"Manhattan Murder Mystery",1993,104,13500000,7.3,5044,0,0,1,0,0,0,0
"32171",32171,"Manhunter",1986,124,15000000,7.2,7272,0,0,0,1,0,0,0
"32222",32222,"Mannequin: On the Move",1991,95,13000000,2.9,1235,0,0,1,0,0,1,0
"32276",32276,"Maquinista, El",2004,102,5000000,7.7,4322,0,0,0,1,0,0,0
"32365",32365,"Mariachi, El",1992,81,220000,7,6817,1,0,0,0,0,0,0
"32460",32460,"Marnie",1964,130,3000000,7.1,4373,0,0,0,1,0,0,0
"32493",32493,"Mars Attacks!",1996,106,70000000,6.1,27363,1,0,1,0,0,0,0
"32530",32530,"Marty",1955,94,343000,7.7,2075,0,0,1,1,0,1,0
"32542",32542,"Marvin's Room",1996,98,23000000,6.5,4005,0,0,1,1,0,0,0
"32548",32548,"Mary Reilly",1996,108,47000000,5.5,2806,0,0,0,1,0,0,0
"32582",32582,"Mask of Zorro, The",1998,136,65000000,6.8,18220,1,0,1,0,0,1,0
"32585",32585,"Mask, The",1994,97,18000000,6.4,21533,1,0,1,0,0,0,0
"32635",32635,"Master and Commander: The Far Side of the World",2003,138,150000000,7.5,21328,1,0,0,1,0,0,0
"32639",32639,"Master of Disguise, The",2002,80,16000000,2.9,3903,0,0,1,0,0,0,0
"32646",32646,"Masters of the Universe",1987,106,17000000,4.4,3288,1,0,1,0,0,0,0
"32677",32677,"Matewan",1987,132,4000000,7.6,1877,0,0,0,1,0,0,0
"32687",32687,"Matilda",1996,102,36000000,6.5,4351,0,0,1,1,0,0,0
"32708",32708,"Matrix Reloaded, The",2003,138,127000000,7.1,57225,1,0,0,0,0,0,0
"32709",32709,"Matrix Revolutions, The",2003,125,110000000,6.3,40058,1,0,0,0,0,0,0
"32710",32710,"Matrix, The",1999,136,63000000,8.5,143853,1,0,0,0,0,0,0
"32731",32731,"Maurice",1987,140,2600000,7.3,2226,0,0,0,1,0,1,0
"32765",32765,"Maximum Overdrive",1986,97,10000000,4.3,3050,0,0,0,0,0,0,0
"32769",32769,"May",2002,93,1700000,6.8,3324,0,0,0,1,0,0,0
"32811",32811,"McHale's Navy",1997,108,42000000,3.7,1758,0,0,1,0,0,0,0
"32815",32815,"McLintock!",1963,127,2000000,7,1289,0,0,1,0,0,0,0
"32846",32846,"Me, Myself & Irene",2000,116,51000000,6,21305,0,0,1,0,0,0,0
"32851",32851,"Mean Creek",2004,89,500000,7.3,2094,0,0,0,1,0,0,0
"32853",32853,"Mean Girls",2004,97,17000000,7,11591,0,0,1,1,0,0,0
"32860",32860,"Mean Streets",1973,107,150000,7.5,8008,0,0,0,1,0,0,0
"32863",32863,"Meaning of Life, The",1983,112,9000000,7.3,12351,0,0,1,0,0,0,0
"32887",32887,"Medallion, The",2003,88,41000000,4.5,2765,1,0,1,0,0,0,0
"32893",32893,"Medicine Man",1992,106,40000000,5.7,4190,0,0,0,0,0,1,0
"32914",32914,"Meet Joe Black",1998,178,90000000,6.6,16796,0,0,0,1,0,1,0
"32922",32922,"Meet Me in St. Louis",1944,113,1707561,7.7,2480,0,0,0,0,0,1,0
"32930",32930,"Meet the Feebles",1989,94,750000,6.5,3812,0,1,1,0,0,0,0
"32932",32932,"Meet the Fockers",2004,115,80000000,6.5,11950,0,0,1,0,0,0,0
"32936",32936,"Meet the Parents",2000,108,55000000,7,30804,0,0,1,0,0,0,0
"33034",33034,"Memento",2000,113,5000000,8.7,90317,0,0,0,1,0,0,0
"33038",33038,"Memoirs of an Invisible Man",1992,99,40000000,5.6,3038,0,0,1,0,0,0,0
"33077",33077,"Men in Black",1997,98,90000000,6.8,53231,1,0,1,0,0,0,0
"33078",33078,"Men in Black II",2002,88,140000000,5.6,21580,1,0,1,0,0,0,0
"33088",33088,"Men of Honor",2000,129,32000000,6.6,9684,0,0,0,1,0,0,0
"33097",33097,"Men with Brooms",2002,102,7500000,5.9,1096,0,0,1,1,0,1,0
"33103",33103,"Menace II Society",1993,97,3500000,7.3,4704,1,0,0,1,0,0,0
"33111",33111,"Meng long guojiang",1972,90,130000,6.6,1775,1,0,0,0,0,0,0
"33160",33160,"Merchant of Venice, The",2004,138,30000000,7.3,1400,0,0,1,1,0,0,0
"33168",33168,"Mercury Rising",1998,108,60000000,5.6,8202,1,0,0,1,0,0,0
"33223",33223,"Message in a Bottle",1999,126,30000000,5.4,5582,0,0,0,1,0,1,0
"33265",33265,"Meteor",1979,107,16000000,4.5,1116,0,0,0,1,0,0,0
"33273",33273,"Metoroporisu",2001,107,14500000,7.3,3380,1,1,0,1,0,1,0
"33274",33274,"Metro",1997,117,55000000,5.2,3560,1,0,1,1,0,0,0
"33282",33282,"Metropolitan",1990,98,430000,7.1,1379,0,0,1,1,0,0,0
"33305",33305,"Mexican, The",2001,123,38000000,6,13935,0,0,1,0,0,1,0
"33363",33363,"Michael Collins",1996,133,25000000,6.8,5009,0,0,0,1,0,0,0
"33381",33381,"Mickey Blue Eyes",1999,102,40000000,5.8,7247,0,0,1,0,0,1,0
"33441",33441,"Midnight Clear, A",1992,107,5000000,7.5,2147,0,0,0,1,0,0,0
"33443",33443,"Midnight Cowboy",1969,113,3600000,7.9,13091,0,0,0,1,0,0,0
"33448",33448,"Midnight Express",1978,121,2300000,7.6,7617,0,0,0,1,0,0,0
"33465",33465,"Midnight Run",1988,126,30000000,7.5,9196,1,0,1,0,0,0,0
"33476",33476,"Midnight in the Garden of Good and Evil",1997,155,30000000,6.4,8517,0,0,0,1,0,0,0
"33509",33509,"Mighty Aphrodite",1995,95,15000000,7,7083,0,0,1,0,0,0,0
"33515",33515,"Mighty Joe Young",1998,114,49000000,5.6,2873,0,0,0,0,0,0,0
"33569",33569,"Mildred Pierce",1945,111,1500000,7.7,2348,0,0,0,1,0,1,0
"33605",33605,"Miller's Crossing",1990,115,14000000,8,14575,0,0,0,1,0,0,0
"33609",33609,"Million Dollar Baby",2004,132,30000000,8.3,20195,0,0,0,1,0,0,0
"33612",33612,"Million Dollar Hotel, The",2000,122,8000000,5.5,4746,0,0,0,1,0,0,0
"33654",33654,"Mimic",1997,105,25000000,5.6,6052,0,0,0,0,0,0,0
"33696",33696,"Mindhunters",2004,102,27000000,6.3,3925,1,0,0,0,0,0,0
"33727",33727,"Minority Report",2002,145,102000000,7.8,51199,1,0,0,1,0,0,0
"33749",33749,"Miracle Mile",1988,87,3000000,6.8,1086,0,0,0,1,0,1,0
"33753",33753,"Miracle Worker, The",1962,106,500000,7.9,2130,0,0,0,1,0,0,0
"33793",33793,"Mirror Has Two Faces, The",1996,122,42000000,5.7,2775,0,0,1,1,0,1,0
"33820",33820,"Misery",1990,107,20000000,7.5,13120,0,0,0,1,0,0,0
"33825",33825,"Misfits, The",1961,120,4000000,7.3,1905,0,0,0,1,0,1,0
"33838",33838,"Miss Congeniality",2000,109,45000000,6.2,16235,0,0,1,0,0,0,0
"33896",33896,"Mission to Mars",2000,113,90000000,4.9,15018,0,0,0,1,0,0,0
"33901",33901,"Mission: Impossible",1996,110,75000000,6.6,33496,1,0,0,0,0,0,0
"33902",33902,"Mission: Impossible II",2000,123,125000000,5.7,35958,1,0,0,0,0,0,0
"33913",33913,"Mississippi Burning",1988,128,15000000,7.6,8084,0,0,0,1,0,0,0
"34001",34001,"Mo' Better Blues",1990,130,10000000,6.1,1408,0,0,0,1,0,0,0
"34002",34002,"Mo' Money",1992,97,15000000,4.9,1109,0,0,1,0,0,1,0
"34014",34014,"Moby Dick",1956,115,4500000,7.3,1887,0,0,0,1,0,0,0
"34038",34038,"Modern Times",1936,87,1500000,8.5,10326,0,0,1,0,0,0,0
"34130",34130,"Mommie Dearest",1981,129,5000000,6.2,1696,0,0,0,1,0,0,0
"34153",34153,"Mona Lisa Smile",2003,117,65000000,6.1,6838,0,0,1,1,0,1,0
"34198",34198,"Money Pit, The",1986,91,10000000,5.6,6392,0,0,1,0,0,0,0
"34200",34200,"Money Talks",1997,97,25000000,5.5,2720,1,0,1,0,0,0,0
"34202",34202,"Money Train",1995,103,68000000,5.1,5081,1,0,1,1,0,0,0
"34241",34241,"Monkeybone",2001,92,75000000,4.7,3112,0,1,1,0,0,0,0
"34271",34271,"Monsieur Verdoux",1947,114,2000000,7.5,1254,0,0,1,1,0,0,0
"34278",34278,"Monster",2003,109,8000000,7.4,12306,0,0,0,1,0,0,0
"34299",34299,"Monster's Ball",2001,112,4000000,7.3,15037,0,0,0,1,0,1,0
"34306",34306,"Monsters, Inc.",2001,92,115000000,8,38712,0,1,1,0,0,0,0
"34339",34339,"Monty Python and the Holy Grail",1975,91,250000,8.4,60565,0,0,1,0,0,0,0
"34371",34371,"Moonlight Mile",2002,117,20000000,6.9,3479,0,0,0,1,0,1,0
"34383",34383,"Moonraker",1979,126,34000000,5.9,9318,1,0,0,0,0,1,0
"34491",34491,"Mortal Kombat",1995,101,20000000,5,8779,1,0,0,0,0,0,0
"34492",34492,"Mortal Kombat: Annihilation",1997,91,30000000,3,5799,1,0,0,0,0,0,0
"34536",34536,"Mosquito Coast, The",1986,117,16000000,6.4,4643,0,0,0,1,0,0,0
"34583",34583,"Mother Night",1996,114,5500000,7.1,1232,0,0,0,1,0,1,0
"34603",34603,"Mothman Prophecies, The",2002,119,42000000,6.5,11073,0,0,0,0,0,0,0
"34626",34626,"Moulin Rouge!",2001,127,52500000,7.7,47689,0,0,0,1,0,1,0
"34663",34663,"Mousehunt",1997,99,38000000,5.8,4637,1,0,1,0,0,0,0
"34709",34709,"Mr 3000",2004,104,30000000,5.7,1459,0,0,1,1,0,0,0
"34736",34736,"Mr. Deeds",2002,96,50000000,5.5,11729,0,0,1,0,0,1,0
"34797",34797,"Mr. Smith Goes to Washington",1939,129,1500000,8.4,11565,0,0,1,1,0,0,0
"34837",34837,"Mrs. Winterbourne",1996,105,25000000,5.8,1310,0,0,1,0,0,1,0
"34852",34852,"Much Ado About Nothing",1993,111,8000000,7.5,12491,0,0,1,0,0,1,0
"34907",34907,"Mujeres al borde de un ataque de nervios",1988,90,700000,7.5,3894,0,0,1,1,0,0,0
"34917",34917,"Mulan",1998,88,70000000,7.2,11192,0,1,1,0,0,0,0
"34926",34926,"Mulholland Dr.",2001,147,15000000,7.9,35504,0,0,0,1,0,0,0
"34940",34940,"Multiplicity",1996,117,45000000,5.7,5241,0,0,1,0,0,0,0
"34946",34946,"Mumford",1999,112,28000000,6.9,3384,0,0,1,1,0,0,0
"34952",34952,"Mummy Returns, The",2001,130,98000000,6.1,23551,1,0,0,0,0,0,0
"34965",34965,"Mummy, The",1932,73,196000,7.2,2001,0,0,0,0,0,0,0
"34967",34967,"Mummy, The",1999,124,76000000,6.5,36216,1,0,1,0,0,0,0
"34991",34991,"Muppets From Space",1999,88,24000000,6,2766,0,0,1,0,0,0,0
"35030",35030,"Murder by Numbers",2002,120,50000000,6,8358,0,0,0,0,0,0,0
"35072",35072,"Muriel's Wedding",1994,106,3000000,7.1,6685,0,0,1,0,0,1,0
"35082",35082,"Musa",2001,132,60000000,7.5,1730,1,0,0,1,0,0,0
"35089",35089,"Muse, The",1999,97,15000000,5.6,3513,0,0,1,0,0,0,0
"35114",35114,"Music of the Heart",1999,124,27000000,6.6,2348,0,0,0,1,0,0,0
"35128",35128,"Musketeer, The",2001,104,40000000,4.4,3966,1,0,0,1,0,1,0
"35153",35153,"Mute Witness",1994,95,2000000,6.8,1202,0,0,1,0,0,0,0
"35164",35164,"Mutiny on the Bounty",1935,127,1950000,7.8,2548,0,0,0,1,0,0,0
"35165",35165,"Mutiny on the Bounty",1962,178,19000000,6.9,1397,0,0,0,1,0,0,0
"35193",35193,"My Beautiful Laundrette",1985,97,400000,6.9,2152,0,0,0,1,0,1,0
"35195",35195,"My Best Friend's Wedding",1997,105,46000000,6.4,16648,0,0,1,0,0,1,0
"35197",35197,"My Big Fat Greek Wedding",2002,95,5000000,6.9,21675,0,0,1,0,0,1,0
"35208",35208,"My Boss's Daughter",2003,90,14000000,4.1,2765,0,0,1,0,0,1,0
"35228",35228,"My Cousin Vinny",1992,120,11000000,7.2,10877,0,0,1,0,0,0,0
"35243",35243,"My Dog Skip",2000,95,7000000,7.1,3109,0,0,0,1,0,0,0
"35246",35246,"My Fair Lady",1964,170,17000000,7.8,12721,0,0,1,1,0,1,0
"35261",35261,"My Favorite Martian",1999,93,60000000,4.5,1942,0,0,1,0,0,0,0
"35266",35266,"My Fellow Americans",1996,101,21500000,6.3,2752,0,0,1,0,0,0,0
"35287",35287,"My Girl",1991,102,16500000,6.3,5591,0,0,1,1,0,1,0
"35311",35311,"My Little Eye",2002,92,3000000,5.9,2244,0,0,0,0,0,0,0
"35334",35334,"My Own Private Idaho",1991,102,2500000,6.7,5619,0,0,0,1,0,0,0
"35354",35354,"My Stepmother Is an Alien",1988,105,16000000,4.7,4080,0,0,1,0,0,0,0
"35408",35408,"Mystery Men",1999,121,68000000,5.8,13331,1,0,1,0,0,0,0
"35418",35418,"Mystery Train",1989,113,2800000,7.2,2469,0,0,1,1,0,0,0
"35434",35434,"Mystery, Alaska",1999,119,28000000,6.4,5440,0,0,1,1,0,0,0
"35438",35438,"Mystic Pizza",1988,104,6000000,6.1,3767,0,0,1,1,0,1,0
"35439",35439,"Mystic River",2003,137,30000000,8,28969,0,0,0,1,0,0,0
"35582",35582,"Naked Gun 33 1/3: The Final Insult",1994,83,30000000,5.8,8918,0,0,1,0,0,0,0
"35625",35625,"Name der Rose, Der",1986,130,20000000,7.7,11654,0,0,0,1,0,0,0
"35668",35668,"Napoleon Dynamite",2004,86,400000,7.2,17524,0,0,1,0,0,0,0
"35681",35681,"Narc",2002,105,7500000,7.3,7185,0,0,0,1,0,0,0
"35743",35743,"National Treasure",2004,131,100000000,6.6,12361,1,0,0,0,0,0,0
"35764",35764,"Natural Born Killers",1994,122,50000000,6.6,25596,1,0,0,0,0,1,0
"35771",35771,"Natural, The",1984,134,28000000,7.4,7353,0,0,0,1,0,0,0
"35849",35849,"Near Dark",1987,90,5000000,7,3288,0,0,0,0,0,0,0
"35892",35892,"Negotiator, The",1998,139,50000000,7.2,19100,1,0,0,1,0,0,0
"35902",35902,"Neighbors",1981,94,8500000,4.9,1419,0,0,1,0,0,0,0
"35980",35980,"Net, The",1995,114,22000000,5.6,12201,1,0,0,1,0,0,0
"35987",35987,"Network",1976,121,3800000,8,9501,0,0,0,1,0,0,0
"36028",36028,"Never Say Never Again",1983,121,36000000,6.1,7537,1,0,0,0,0,0,0
"36046",36046,"NeverEnding Story II: The Next Chapter, The",1990,89,36000000,4.3,1873,0,0,0,0,0,0,0
"36077",36077,"New Guy, The",2002,89,13000000,5.2,4266,0,0,1,0,0,0,0
"36079",36079,"New Jack City",1991,97,8500000,6.1,3360,1,0,0,1,0,0,0
"36120",36120,"New York Stories",1989,124,15000000,6.1,2699,0,0,1,1,0,0,0
"36128",36128,"New York, New York",1977,163,14000000,6.3,1616,0,0,0,1,0,0,0
"36143",36143,"Newsies",1992,121,15000000,5.7,2997,0,0,0,1,0,0,0
"36144",36144,"Newton Boys, The",1998,113,27000000,5.7,2003,1,0,0,1,0,0,0
"36147",36147,"Next Best Thing, The",2000,108,25000000,4.7,3131,0,0,1,1,0,0,0
"36149",36149,"Next Friday",2000,98,9500000,5.2,3457,0,0,1,0,0,0,0
"36154",36154,"Next Stop Wonderland",1998,104,1000000,6.7,1467,0,0,1,1,0,1,0
"36192",36192,"Niagara",1953,92,1250000,7,1459,0,0,0,0,0,0,0
"36220",36220,"Nicholas Nickleby",2002,132,10000000,7.4,1651,0,0,0,1,0,0,0
"36357",36357,"Night Train to Mundo Fine",1966,89,30000,1.8,1095,1,0,0,1,0,0,0
"36390",36390,"Night at the Roxbury, A",1998,81,17000000,5.1,5937,0,0,1,0,0,0,0
"36428",36428,"Night of the Hunter, The",1955,93,795000,8.2,7543,0,0,0,1,0,0,0
"36429",36429,"Night of the Iguana, The",1964,112,3000000,7.3,1099,0,0,0,1,0,0,0
"36434",36434,"Night of the Living Dead",1968,90,114000,7.6,11590,0,0,0,0,0,0,0
